# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.0670007,-1.0670007,-0.7991280,5849.8584684,4995.2601860,23022.8242416,308.8332060,17142.4006848,6537.4994333,5162.2175035,6896.0401529,4361.4387438,5849.8584684,4995.2601860,23022.8242416,293.2383807,17142.4006848,6537.4994333,5162.2175035,6896.0401529,4361.4387438
-1.0620007,-1.0620007,-0.7941280,5052.6998268,4321.7943166,19748.1438298,263.3534837,14839.7266444,5740.2020913,4365.1975623,5956.3186142,3767.1066581,5052.6998268,4321.7943166,19748.1438298,247.7123844,14839.7266444,5740.2020913,4365.1975623,5956.3186142,3767.1066581
-1.0570007,-1.0570007,-0.7891280,4413.7779093,3784.6838794,17122.9215772,226.9687023,12993.7531786,5101.1723897,3726.3834288,5203.1326659,3290.7500385,4413.7779093,3784.6838794,17122.9215772,211.3276030,12993.7531786,5101.1723897,3726.3834288,5203.1326659,3290.7500385
-1.0520007,-1.0520007,-0.7841280,3907.1663055,3360.7223420,15040.8375646,198.2049438,11529.7189861,4594.4822348,3219.8503762,4605.9192495,2913.0391094,3907.1663055,3360.7223420,15040.8375646,182.5638444,11529.7189861,4594.4822348,3219.8503762,4605.9192495,2913.0391094
-1.0470007,-1.0470007,-0.7791280,3510.9183242,3030.4686593,13411.9047666,175.7758708,10384.3465304,4198.1832221,2823.6534264,4138.8067537,2617.6112274,3510.9183242,3030.4686593,13411.9047666,160.1347715,10384.3465304,4198.1832221,2823.6534264,4138.8067537,2617.6112274
-1.0420007,-1.0420007,-0.7741280,3206.8248736,2777.9423335,12161.4700453,158.6146187,9505.1400317,3894.0646075,2519.5851397,3780.3295945,2390.8903649,3206.8248736,2777.9423335,12161.4700453,142.9735642,9505.1400317,3894.0646075,2519.5851397,3780.3295945,2390.8903649
-1.0370007,-1.0370007,-0.7691280,2980.1512632,2590.3175251,11229.1302249,145.8485869,8849.6236580,3667.3901899,2292.9123366,3513.1179470,2221.8908803,2980.1512632,2590.3175251,11229.1302249,130.2173307,8849.6236580,3667.3901899,2292.9123366,3513.1179470,2221.8908803
-1.0320007,-1.0320007,-0.7641280,2819.3856690,2457.6435308,10567.6973028,136.4197824,8384.6141870,3506.6468431,2132.1244949,3323.6012264,2102.0299819,2819.3856690,2457.6435308,10567.6973028,121.1922013,8384.6141870,3506.6468431,2132.1244949,3323.6012264,2102.0299819
-1.0270007,-1.0270007,-0.7591280,2682.0974034,2372.6085288,10028.8864324,128.1941825,7987.2990390,3356.2025239,2007.9922828,3161.7604917,1999.6729139,2682.0974034,2372.6085288,10028.8864324,113.5125195,7987.2990390,3356.2025239,2007.9922828,3161.7604917,1999.6729139
-1.0220007,-1.0220007,-0.7541280,2575.1007191,2330.3562483,9588.9020735,122.7935542,7677.7673648,3249.0653666,1901.1360717,3035.6286486,1919.9001320,2575.1007191,2330.3562483,9588.9020735,107.4620419,7677.7673648,3249.0653666,1901.1360717,3035.6286486,1919.9001320
-1.0170007,-1.0170007,-0.7491280,2566.1768213,2328.3605504,9552.3348166,122.3247111,7651.9601176,3240.0717570,1892.2818855,3025.1088115,1913.2468028,2566.1768213,2328.3605504,9552.3348166,106.9553867,7651.9601176,3240.0717570,1892.2818855,3025.1088115,1913.2468028
-1.0120007,-1.0120007,-0.7441280,2654.7582790,2366.3601452,9916.8564714,126.9303991,7908.2401816,3328.6542039,1980.8623542,3129.5320711,1979.2898710,2654.7582790,2366.3601452,9916.8564714,111.9594639,7908.2401816,3328.6542039,1980.8623542,3129.5320711,1979.2898710
-1.0070007,-1.0070007,-0.7391280,2803.4230627,2446.3541940,10501.2676491,135.1435215,8338.5120493,3491.1161854,2115.7299400,3304.7838867,2090.1288513,2803.4230627,2446.3541940,10501.2676491,120.2887166,8338.5120493,3491.1161854,2115.7299400,3304.7838867,2090.1288513
