# r[nm],ssd(r)[nm]
1.9408292,1.8908292
1.9458292,1.8958292
1.9508292,1.9008292
1.9558292,1.9058292
1.9608292,1.9108292
1.9658292,1.9158292
1.9708292,1.9208292
1.9758292,1.9258292
1.9808292,1.9308292
1.9858292,1.9358292
1.9908292,1.9408292
1.9958292,1.9458292
