# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
2.0700000,1.3200000,1.2942291,-0.0261130,-7.7957450,-9.7171571,-0.0065946,-0.0437867,-0.1842865,-0.5865490,-1.5435082
2.0750000,1.3250000,1.2992291,-0.0256774,-7.7500504,-9.6505316,-0.0064847,-0.0430563,-0.1812139,-0.5767883,-1.5179542
2.0800000,1.3300000,1.3042291,-0.0252506,-7.7045196,-9.5843312,-0.0063769,-0.0423405,-0.1782026,-0.5672218,-1.4929034
2.0850000,1.3350000,1.3092291,-0.0248322,-7.6591533,-9.5185543,-0.0062712,-0.0416390,-0.1752513,-0.5578450,-1.4683443
2.0900000,1.3400000,1.3142291,-0.0244221,-7.6139524,-9.4531988,-0.0061677,-0.0409514,-0.1723586,-0.5486536,-1.4442659
2.0950000,1.3450000,1.3192291,-0.0240202,-7.5689175,-9.3882628,-0.0060662,-0.0402775,-0.1695231,-0.5396432,-1.4206573
2.1000000,1.3500000,1.3242291,-0.0236262,-7.5240494,-9.3237446,-0.0059667,-0.0396168,-0.1667434,-0.5308098,-1.3975078
2.1050000,1.3550000,1.3292291,-0.0232399,-7.4793488,-9.2596422,-0.0058692,-0.0389691,-0.1640183,-0.5221491,-1.3748071
2.1100000,1.3600000,1.3342291,-0.0228613,-7.4348165,-9.1959538,-0.0057736,-0.0383341,-0.1613465,-0.5136574,-1.3525452
2.1150000,1.3650000,1.3392291,-0.0224900,-7.3904533,-9.1326773,-0.0056798,-0.0377115,-0.1587269,-0.5053308,-1.3307123
2.1200000,1.3700000,1.3442291,-0.0221259,-7.3462598,-9.0698110,-0.0055879,-0.0371010,-0.1561582,-0.4971655,-1.3092988
2.1250000,1.3750000,1.3492291,-0.0217689,-7.3022369,-9.0073529,-0.0054977,-0.0365023,-0.1536392,-0.4891579,-1.2882954
2.1300000,1.3800000,1.3542291,-0.0214188,-7.2583853,-8.9453011,-0.0054093,-0.0359152,-0.1511689,-0.4813044,-1.2676931
2.1350000,1.3850000,1.3592291,-0.0210754,-7.2147058,-8.8836536,-0.0053226,-0.0353394,-0.1487462,-0.4736017,-1.2474828
2.1400000,1.3900000,1.3642291,-0.0207386,-7.1711991,-8.8224086,-0.0052376,-0.0347747,-0.1463699,-0.4660462,-1.2276561
2.1450000,1.3950000,1.3692291,-0.0204083,-7.1278660,-8.7615641,-0.0051541,-0.0342208,-0.1440390,-0.4586347,-1.2082044
2.1500000,1.4000000,1.3742291,-0.0200842,-7.0847071,-8.7011182,-0.0050723,-0.0336774,-0.1417526,-0.4513641,-1.1891196
