# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
1.2239752,1.2239752,1.2127433,-0.0684602,-0.0551153,-0.1570645,-0.0173217,-0.1147052,-0.0684602,-0.0684602,-0.0807036,-0.0510413,-0.0702120,-0.0565257,-0.1610827,-0.0177650,-0.1176399,-0.0702120,-0.0702120,-0.0827686,-0.0523475
1.2289752,1.2289752,1.2177433,-0.0673706,-0.0542381,-0.1545651,-0.0170460,-0.1128798,-0.0673706,-0.0673706,-0.0794192,-0.0502290,-0.0690963,-0.0556274,-0.1585234,-0.0174827,-0.1157709,-0.0690963,-0.0690963,-0.0814534,-0.0515157
1.2339752,1.2339752,1.2227433,-0.0663018,-0.0533776,-0.1521134,-0.0167755,-0.1110893,-0.0663018,-0.0663018,-0.0781592,-0.0494322,-0.0680019,-0.0547463,-0.1560129,-0.0172057,-0.1139374,-0.0680019,-0.0680019,-0.0801633,-0.0506997
1.2389752,1.2389752,1.2277433,-0.0652534,-0.0525335,-0.1497083,-0.0165102,-0.1093328,-0.0652534,-0.0652534,-0.0769233,-0.0486505,-0.0669283,-0.0538819,-0.1535500,-0.0169340,-0.1121387,-0.0669283,-0.0669283,-0.0788976,-0.0498992
1.2439752,1.2439752,1.2327433,-0.0642248,-0.0517054,-0.1473488,-0.0162499,-0.1076096,-0.0642248,-0.0642248,-0.0757108,-0.0478836,-0.0658750,-0.0530339,-0.1511338,-0.0166675,-0.1103741,-0.0658750,-0.0658750,-0.0776560,-0.0491139
1.2489752,1.2489752,1.2377433,-0.0632157,-0.0508929,-0.1450338,-0.0159946,-0.1059190,-0.0632157,-0.0632157,-0.0745211,-0.0471312,-0.0648415,-0.0522019,-0.1487631,-0.0164060,-0.1086428,-0.0648415,-0.0648415,-0.0764377,-0.0483434
1.2539752,1.2539752,1.2427433,-0.0622255,-0.0500957,-0.1427623,-0.0157440,-0.1042601,-0.0622255,-0.0622255,-0.0733539,-0.0463930,-0.0638275,-0.0513855,-0.1464369,-0.0161494,-0.1069439,-0.0638275,-0.0638275,-0.0752423,-0.0475874
1.2589752,1.2589752,1.2477433,-0.0612539,-0.0493135,-0.1405335,-0.0154982,-0.1026323,-0.0612539,-0.0612539,-0.0722085,-0.0456686,-0.0628324,-0.0505844,-0.1441543,-0.0158976,-0.1052769,-0.0628324,-0.0628324,-0.0740693,-0.0468456
1.2639752,1.2639752,1.2527433,-0.0603005,-0.0485459,-0.1383463,-0.0152569,-0.1010350,-0.0603005,-0.0603005,-0.0710846,-0.0449578,-0.0618560,-0.0497982,-0.1419143,-0.0156505,-0.1036410,-0.0618560,-0.0618560,-0.0729182,-0.0461175
1.2689752,1.2689752,1.2577433,-0.0593648,-0.0477926,-0.1361998,-0.0150201,-0.0994674,-0.0593648,-0.0593648,-0.0699815,-0.0442601,-0.0608977,-0.0490267,-0.1397160,-0.0154080,-0.1020355,-0.0608977,-0.0608977,-0.0717885,-0.0454031
1.2739752,1.2739752,1.2627433,-0.0584465,-0.0470533,-0.1340931,-0.0147878,-0.0979289,-0.0584465,-0.0584465,-0.0688990,-0.0435755,-0.0599571,-0.0482695,-0.1375583,-0.0151700,-0.1004598,-0.0599571,-0.0599571,-0.0706798,-0.0447018
1.2789752,1.2789752,1.2677433,-0.0575451,-0.0463276,-0.1320254,-0.0145597,-0.0964188,-0.0575451,-0.0575451,-0.0678365,-0.0429035,-0.0590340,-0.0475263,-0.1354406,-0.0149364,-0.0989131,-0.0590340,-0.0590340,-0.0695915,-0.0440135
1.2839752,1.2839752,1.2727433,-0.0566604,-0.0456154,-0.1299959,-0.0143358,-0.0949366,-0.0566604,-0.0566604,-0.0667935,-0.0422439,-0.0581278,-0.0467967,-0.1333618,-0.0147071,-0.0973950,-0.0581278,-0.0581278,-0.0685233,-0.0433379
1.2889752,1.2889752,1.2777433,-0.0557920,-0.0449162,-0.1280036,-0.0141161,-0.0934816,-0.0557920,-0.0557920,-0.0657698,-0.0415964,-0.0572383,-0.0460806,-0.1313211,-0.0144820,-0.0959047,-0.0572383,-0.0572383,-0.0674747,-0.0426747
1.2939752,1.2939752,1.2827433,-0.0549394,-0.0442298,-0.1260478,-0.0139003,-0.0920533,-0.0549394,-0.0549394,-0.0647648,-0.0409608,-0.0563650,-0.0453775,-0.1293178,-0.0142611,-0.0944416,-0.0563650,-0.0563650,-0.0664452,-0.0420236
1.2989752,1.2989752,1.2877433,-0.0541024,-0.0435560,-0.1241277,-0.0136885,-0.0906510,-0.0541024,-0.0541024,-0.0637781,-0.0403368,-0.0555080,-0.0446875,-0.1273518,-0.0140442,-0.0930058,-0.0555080,-0.0555080,-0.0654350,-0.0413847
1.3039752,1.3039752,1.2927433,-0.0532807,-0.0428944,-0.1222425,-0.0134806,-0.0892742,-0.0532807,-0.0532807,-0.0628094,-0.0397241,-0.0546671,-0.0440105,-0.1254227,-0.0138314,-0.0915969,-0.0546671,-0.0546671,-0.0644437,-0.0407577
1.3089752,1.3089752,1.2977433,-0.0524738,-0.0422448,-0.1203915,-0.0132765,-0.0879224,-0.0524738,-0.0524738,-0.0618582,-0.0391225,-0.0538414,-0.0433458,-0.1235285,-0.0136225,-0.0902136,-0.0538414,-0.0538414,-0.0634703,-0.0401421
