# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-0.0425600,-0.0425600,-0.0356453,22421.1662470,13464.8356008,104220.9159392,804.3930186,72733.9030222,1753209.9995100,21461944.1772043,170044403.9952076
-0.0375600,-0.0375600,-0.0306453,17040.5589241,10206.2190766,79540.8146158,585.5795132,55499.2423304,1342952.7764950,16451221.8821399,130367471.8472517
-0.0325600,-0.0325600,-0.0256453,13368.5209060,7983.2698339,62686.5628831,437.1152980,43729.9156717,1062617.1990492,13026917.3086482,103251631.7080994
-0.0275600,-0.0275600,-0.0206453,10909.8570515,6496.1340662,51386.1947632,338.9070068,35839.3780639,874427.7394118,10727634.4518947,85043321.1203267
-0.0225600,-0.0225600,-0.0156453,9250.7241935,5493.6716906,43747.6064872,273.6464959,30506.1273147,747024.3585837,9170571.8437964,72711808.1992314
-0.0175600,-0.0175600,-0.0106453,8119.1531472,4810.8927609,38526.6917163,230.0102459,26861.2639954,659777.1441671,8103883.6820485,64263120.9188454
-0.0125600,-0.0125600,-0.0056453,7334.2997329,4338.1290290,34895.6967002,200.5071901,24326.6909910,598952.7456143,7359898.4020657,58369695.0655132
-0.0075600,-0.0075600,-0.0006453,6774.7232404,4001.7665002,32298.3974726,193.1588210,22513.9579169,555317.2142265,6825864.8155810,54138779.6100220
-0.0025600,-0.0025600,0.0043547,6358.3098214,3752.0528105,30358.4198396,178.6129281,21160.2253394,522618.1579034,6425428.2428656,50965786.8632013
0.0024400,0.0024400,0.0093547,6029.4040673,3555.2835013,28820.4595048,167.5450227,20087.2093079,496611.3437109,6106750.5396453,48440239.8684482
0.0074400,0.0074400,0.0143547,5750.4473914,3388.7258592,27512.0758021,158.4462598,19174.4961698,474427.8129037,5834785.5150572,46284616.7188277
0.0124400,0.0124400,0.0193547,5496.4592015,3237.2693587,26318.4650618,150.3208093,18341.9233434,454155.8554015,5586176.4350797,44313953.2671227
0.0174400,0.0174400,0.0243547,5251.3258423,3091.1739487,25165.4894831,142.5321489,17537.7263077,434559.6662360,5345821.6112658,42408651.7639219
0.0224400,0.0224400,0.0293547,5005.2488789,2944.5223041,24008.0014484,134.6977212,16730.3842574,414885.6925035,5104510.2159336,40495762.3650600
0.0274400,0.0274400,0.0343547,4752.9448208,2794.1282951,22821.6009505,126.6149835,15902.8636314,394725.8435643,4857252.1186393,38535759.1909190
0.0324400,0.0324400,0.0393547,4492.3395262,2638.7457371,21596.6536768,118.2081362,15048.4405873,373918.1541180,4602064.8604272,36512935.5806239
0.0374400,0.0374400,0.0443547,4223.5960481,2478.4795075,20333.8333906,109.4887919,14167.5880963,352472.7080734,4339068.9706341,34428240.5536025
0.0424400,0.0424400,0.0493547,3948.3750545,2314.3377772,19040.7279121,100.5263527,13265.6058807,330515.1946288,4069798.5234535,32293819.3954148
0.0474400,0.0474400,0.0543547,3669.2648049,2147.8870940,17729.2208474,91.4254338,12350.7921390,308243.3298152,3796668.7580521,30128797.7929396
0.0524400,0.0524400,0.0593547,3389.3409572,1980.9861931,16413.4676213,82.3086210,11433.0303261,285893.1388926,3522564.0922409,27956019.2065168
0.0574400,0.0574400,0.0643547,3111.8303904,1815.5828616,15108.3479079,73.3034241,10522.7086375,263713.1472427,3250522.7023061,25799546.8407221
0.0624400,0.0624400,0.0693547,2839.8611685,1653.5630004,13828.3128263,64.5326157,9629.9151770,241945.1281491,2983501.1736526,23682799.6228308
0.0674400,0.0674400,0.0743547,2576.2850444,1496.6436247,12586.5647897,56.1073513,8763.8654275,220810.3790880,2724206.6717201,21627222.8284499
0.0724400,0.0724400,0.0793547,2323.5610653,1346.3028576,11394.5177573,48.1225925,7932.5255275,200500.6612593,2474986.0728722,19651409.7494974
0.0774400,0.0774400,0.0843547,2083.6899147,1203.7406241,10261.4905312,40.6544463,7142.3982784,181173.0178589,2237762.4801361,17770598.5979888
0.0824400,0.0824400,0.0893547,1858.1892678,1069.8641443,9194.5886416,33.7590913,6398.4408310,162947.7343299,2014010.1305128,15996473.4439103
0.0874400,0.0874400,0.0943547,1648.1010172,945.2926816,8198.7330060,27.4729929,5704.0848480,145908.7471977,1804759.2290197,14337202.1673938
0.0924400,0.0924400,0.0993547,1454.0219405,830.3764311,7276.7967676,21.8141238,5061.3321888,130105.8611310,1610622.8911862,12797649.5226114
0.0974400,0.0974400,0.1043547,1276.1502689,725.2249809,6429.8157789,16.7839101,4470.9019986,115558.2008092,1431839.1920009,11379709.8718111
0.1024400,0.1024400,0.1093547,1114.3416708,629.7414163,5657.2429804,12.3696352,3932.4084273,102258.4032183,1268322.2835104,10082711.7804322
0.1074400,0.1074400,0.1143547,968.1693054,543.6588313,4957.2221463,8.5470202,3444.5518487,90177.1422892,1119717.5960996,8903854.9987405
0.1124400,0.1124400,0.1193547,836.9837661,466.5767199,4326.8617639,5.2826258,3005.3101523,79267.6655060,985457.2089164,7838648.8297260
0.1174400,0.1174400,0.1243547,719.9698352,397.9953886,3762.4948730,2.5355841,2612.1202113,69470.1058630,864812.4970976,6881328.9757374
0.1224400,0.1224400,0.1293547,616.1979720,337.3471377,3259.9152487,0.2582924,2262.0428138,60715.4081265,756942.0860804,6025237.2611524
0.1274400,0.1274400,0.1343547,524.6693062,284.0234744,2814.5842075,-1.6034202,1951.9070658,52928.7730488,660933.9331481,5263154.8823255
0.1324400,0.1324400,0.1393547,444.3535968,237.3980392,2421.8054807,-3.1088391,1678.4324834,46032.5757146,575840.9979497,4587584.9163725
0.1374400,0.1374400,0.1443547,374.2201463,209.1327463,2076.8680192,-4.3176841,1438.3286839,39948.7545389,500710.4564955,3990983.7224495
0.1424400,0.1424400,0.1493547,313.2620367,173.6216619,1775.1583368,-5.2827688,1228.3737977,34600.6964323,434606.7675439,3465943.6760396
0.1474400,0.1474400,0.1543547,260.5143018,142.9850394,1512.2451368,-6.0447152,1045.4735232,29914.6627525,376629.1339043,3005331.5272389
0.1524400,0.1524400,0.1593547,215.0667861,116.6900315,1283.9396161,-6.6346684,886.7031939,25820.8115909,325924.0350516,2602387.7347668
0.1574400,0.1574400,0.1643547,187.7572208,94.2387357,1086.3351060,-7.0840568,749.3354173,22253.8764891,281693.5633162,2250792.5706112
0.1624400,0.1624400,0.1693547,154.0064740,75.1701801,915.8296887,-7.4300859,630.8558258,19153.5615141,243200.2942725,1944704.7779400
0.1674400,0.1674400,0.1743547,125.2420627,59.0615996,769.1352153,-7.7085998,528.9693347,16464.7092230,209769.3807693,1678778.2395382
0.1724400,0.1724400,0.1793547,100.8347316,45.5288838,643.2758184,-7.9435438,441.5990661,14137.2926341,180788.4942411,1448161.5935820
0.1774400,0.1774400,0.1843547,80.2168864,34.2260308,535.5786166,-8.1464183,366.8798246,12126.2758580,155706.1582247,1248485.1107877
0.1824400,0.1824400,0.1893547,62.8800241,24.8433190,443.6588935,-8.3218638,303.1477171,10391.3812326,134028.9361015,1075838.4909494
0.1874400,0.1874400,0.1943547,48.3716386,17.1038708,365.4016281,-8.4702174,248.9272296,8896.7941651,115317.8540958,926742.5959302
0.1924400,0.1924400,0.1993547,36.2913372,10.7591903,298.9408829,-8.5884036,202.9168099,7610.8307204,99184.3654420,798117.5416157
0.1974400,0.1974400,0.2043547,26.2857809,5.5859237,242.6382189,-8.6716420,174.7071152,6505.5875010,85286.0946381,687249.0410478
0.2024400,0.2024400,0.2093547,18.0425115,1.3861962,206.0634445,-8.7152449,141.4604824,5556.5886251,73322.5428408,591754.4329172
0.2074400,0.2074400,0.2143547,11.2842283,-2.0092988,165.5605706,-8.7168784,113.4556510,4742.4406194,63030.8868412,509549.4447237
0.2124400,0.2124400,0.2193547,5.7660486,-4.7404379,131.4934655,-8.6782971,89.9381242,4044.5027862,54181.9642299,438816.4245393
0.2174400,0.2174400,0.2243547,1.2764054,-6.9232137,102.9278040,-8.6042775,70.2522780,3446.5779896,46576.5054922,377974.5230122
0.2224400,0.2224400,0.2293547,-2.3618571,-8.6581454,79.0539037,-8.4986849,53.8298112,2934.6267735,40041.6488948,325652.1101997
0.2274400,0.2274400,0.2343547,-5.2951994,-10.0337256,59.1720354,-8.3612608,40.1781221,2496.5061711,34427.7550843,280661.5618341
0.2324400,0.2324400,0.2393547,-7.6476931,-11.1242981,42.6783833,-8.1888600,28.8690803,2121.7334228,29605.5243178,241976.4387019
0.2374400,0.2374400,0.2443547,-9.5272889,-11.9887076,29.0513446,-7.9796003,19.5300511,1801.2740016,25463.4092507,208711.0036356
0.2424400,0.2424400,0.2493547,-11.0263034,-12.6721748,17.8390832,-7.7355546,11.8388601,1527.3527924,21905.3093965,180101.9666513
0.2474400,0.2474400,0.2543547,-12.2201781,-13.2085251,8.6503555,-7.4625301,5.5216254,1293.2869146,18848.5290478,155492.3144240
0.2524400,0.2524400,0.2593547,-13.1686583,-13.6211923,1.1495251,-7.1683313,0.3493908,1093.3384845,16221.9779968,134317.0608826
0.2574400,0.2574400,0.2643547,-13.9181996,-13.9247371,-4.9465746,-6.8610382,-3.8692969,922.5855259,13964.5933533,116090.7473773
0.2624400,0.2624400,0.2693547,-14.5033166,-14.1283365,-9.8741809,-6.5479157,-7.2972176,776.8092390,12023.9607159,100396.5205291
0.2674400,0.2674400,0.2743547,-14.9476813,-14.2395506,-13.8316720,-6.2349352,-10.0737926,652.3958913,10355.1136196,86876.6210770
0.2724400,0.2724400,0.2793547,-15.2669621,-14.2658543,-16.9880582,-5.9266967,-12.3165938,546.2516903,8919.4913019,75224.1258998
0.2774400,0.2774400,0.2843547,-15.4727779,-14.2141163,-19.4872261,-5.6265570,-14.1226357,455.7291115,7684.0362367,65175.7964770
0.2824400,0.2824400,0.2893547,-15.5752660,-14.0902270,-21.4495357,-5.3368355,-15.5709290,378.5632847,6620.4144357,56505.8993015
0.2874400,0.2874400,0.2943547,-15.5835625,-13.8999249,-22.9740054,-5.0590288,-16.7247137,312.8171736,5704.3431158,49020.8763974
0.2924400,0.2924400,0.2993547,-15.5057655,-13.6499557,-24.1411585,-4.7940037,-17.6326573,256.8344130,4915.0119103,42554.7565871
0.2974400,0.2974400,0.3043547,-15.3495990,-13.3485245,-25.0149052,-4.5421579,-18.3306564,209.1987948,4234.5853197,36965.2101311
