# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0959750,0.0959750,0.3021786,5.1005108,-6292.1347640,5517.4470155,0.2929253,11.8865855,204.0099089,2649.7712904,19971.2401852
0.1009750,0.1009750,0.3071786,4.5584685,-6291.5724139,5490.1943982,0.1314770,10.8768567,196.5331102,2384.8695924,18035.9041170
0.1059750,0.1059750,0.3121786,4.0458452,-6287.5888586,5459.8922438,-0.0287438,9.9248889,175.7770534,2145.5742910,16284.3785368
0.1109750,0.1109750,0.3171786,3.5617181,-6280.9479967,5424.5962980,-0.1844947,9.0207974,157.1464738,1929.4221046,14699.2135101
0.1159750,0.1159750,0.3221786,3.1049462,-6272.2432068,5380.7670568,-0.3319746,8.1588900,140.4291139,1734.2020407,13264.7308653
0.1209750,0.1209750,0.3271786,2.6740013,-6261.9360822,5343.5332109,-0.4673243,7.3363514,125.4335261,1557.9242095,11966.8047203
0.1259750,0.1259750,0.3321786,2.2667602,-6250.3862472,5311.4876192,-0.5874241,6.5519824,111.9867780,1398.7936689,10792.6778837
0.1309750,0.1309750,0.3371786,1.8805324,-6237.8743220,5281.5697823,-0.6906221,5.8053804,99.9327988,1255.1883254,9730.8070767
0.1359750,0.1359750,0.3421786,1.5124697,-6226.5876849,5247.3383047,-0.7769510,5.0965858,89.1311708,1125.6401151,8770.7313869
0.1409750,0.1409750,0.3471786,1.1601218,-6214.7355243,5218.0148428,-0.8477818,4.4258781,79.4560932,1008.8188503,7902.9595345
0.1459750,0.1459750,0.3521786,0.8217618,-6201.9090231,5192.4961471,-0.9052004,3.7933846,70.7952505,903.5182429,7118.8724464
0.1509750,0.1509750,0.3571786,0.4964501,-6188.3510149,5169.9414836,-0.9514265,3.1984739,63.0484193,808.6437172,6410.6383631
0.1559750,0.1559750,0.3621786,0.1840559,-6174.2458410,5149.7071404,-0.9884147,2.6393253,56.1257745,723.2017022,5771.1382783
0.1609750,0.1609750,0.3671786,-0.1146689,-6159.7340031,5131.2979955,-1.0176448,2.1130899,49.9459656,646.2901579,5193.8999659
0.1659750,0.1659750,0.3721786,-0.3980366,-6144.9229958,5114.3315253,-1.0400972,1.6165712,44.4341533,577.0901404,4673.0392053
0.1709750,0.1709750,0.3771786,-0.6635274,-6129.8953524,5098.5109267,-1.0562903,1.1469541,39.5203453,514.8582468,4203.2071023
0.1759750,0.1759750,0.3821786,-0.9081764,-6114.7146477,5083.6049507,-1.0662808,0.7022601,35.1384668,458.9198154,3779.5426212
0.1809750,0.1809750,0.3871786,-1.1292168,-6099.4299968,5069.4327015,-1.0697866,0.2815470,31.2264881,408.6627796,3397.6296207
0.1859750,0.1859750,0.3921786,-1.3247539,-6084.0794408,5055.8521267,-1.0665152,-0.1150357,27.7275205,363.5320918,3053.4578207
0.1909750,0.1909750,0.3971786,-1.4941958,-6068.6925066,5042.7512630,-1.0564935,-0.4863107,24.5912136,323.0246511,2743.3872361
0.1959750,0.1959750,0.4021786,-1.6382971,-6053.2921492,5030.0415499,-1.0401956,-0.8303153,21.7744247,286.6846783,2464.1156932
0.2009750,0.2009750,0.4071786,-1.7588607,-6037.8962331,5017.6527003,-1.0184662,-1.1447706,19.2404157,254.0994924,2212.6491138
0.2059750,0.2059750,0.4121786,-1.8582666,-6022.5186652,5005.5287507,-0.9923521,-1.4276994,16.9567366,224.8956490,1986.2742976
0.2109750,0.2109750,0.4171786,-1.9390146,-6007.1702656,4993.6250056,-0.9629385,-1.6779910,14.8928849,214.2652698,1782.5339779
0.2159750,0.2159750,0.4221786,-2.0034084,-5991.8594395,4981.9056661,-0.9312359,-1.8957228,13.0190932,190.7788545,1599.2039519
0.2209750,0.2209750,0.4271786,-2.0533917,-5976.5926968,4970.3419809,-0.8981199,-2.0821625,11.3069231,169.7369409,1434.2721143
0.2259750,0.2259750,0.4321786,-2.0904792,-5961.3750562,4958.9108013,-0.8643110,-2.2395009,9.7311280,150.8922587,1285.9192415
0.2309750,0.2309750,0.4371786,-2.1157457,-5946.2103606,4947.5934450,-0.8303793,-2.3704456,8.2713792,134.0226043,1152.5013873
0.2359750,0.2359750,0.4421786,-2.1299043,-5931.1015235,4936.3748025,-0.7967610,-2.4778252,6.9127154,118.9272513,1032.5337674
0.2409750,0.2409750,0.4471786,-2.1334785,-5916.0507223,4925.2426296,-0.7637797,-2.5643011,5.6446985,105.4239569,924.6760165
0.2459750,0.2459750,0.4521786,-2.1270025,-5901.0595515,4914.1869871,-0.7316676,-2.6322004,4.4600892,93.3470098,827.7187136
