# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.0400000,0.2900000,0.2677756,-1.9616585,18.7092335,-17.3649477
1.0450000,0.2950000,0.2727756,-2.6753909,18.2905384,-19.5520463
1.0500000,0.3000000,0.2777756,-3.2626805,17.9729341,-21.4331214
1.0550000,0.3050000,0.2827756,-3.7339043,17.7425012,-23.0577495
1.0600000,0.3100000,0.2877756,-4.1007025,17.5856325,-24.4656424
1.0650000,0.3150000,0.2927756,-4.3753339,17.4896936,-25.6870349
1.0700000,0.3200000,0.2977756,-4.5700286,17.4433633,-26.7428081
1.0750000,0.3250000,0.3027756,-4.6965006,17.4367537,-27.6468485
1.0800000,0.3300000,0.3077756,-4.7656314,17.4613937,-28.4094758
1.0850000,0.3350000,0.3127756,-4.7872917,17.5101364,-29.0400540
1.0900000,0.3400000,0.3177756,-4.7702604,17.5770271,-29.5482271
1.0950000,0.3450000,0.3227756,-4.7222115,17.6571582,-29.9442224
1.1000000,0.3500000,0.3277756,-4.6497510,17.7465252,-30.2387445
1.1050000,0.3550000,0.3327756,-4.5584855,17.8418940,-30.4427278
1.1100000,0.3600000,0.3377756,-4.4531099,17.9406803,-30.5670461
1.1150000,0.3650000,0.3427756,-4.3374965,18.0408416,-30.6222321
1.1200000,0.3700000,0.3477756,-4.2147856,18.1407799,-30.6182485
1.1250000,0.3750000,0.3527756,-4.0874827,18.2392534,-30.5643338
1.1300000,0.3800000,0.3577756,-3.9575696,18.3352997,-30.4689106
1.1350000,0.3850000,0.3627756,-3.8266263,18.4281714,-30.3395350
1.1400000,0.3900000,0.3677756,-3.6959556,18.5172892,-30.1828707
1.1450000,0.3950000,0.3727756,-3.5666875,18.6022131,-30.0046824
1.1500000,0.4000000,0.3777756,-3.4398400,18.6826273,-29.8098519
1.1550000,0.4050000,0.3827756,-3.3163238,18.7583303,-29.6024204
1.1600000,0.4100000,0.3877756,-3.1968996,18.8292239,-29.3856628
1.1650000,0.4150000,0.3927756,-3.0821248,18.8952974,-29.1622032
1.1700000,0.4200000,0.3977756,-2.9723247,18.9566098,-28.9341697
1.1750000,0.4250000,0.4027756,-2.8676001,19.0132759,-28.7033823
1.1800000,0.4300000,0.4077756,-2.7678578,19.0654543,-28.4715439
1.1850000,0.4350000,0.4127756,-2.6728425,19.1133346,-28.2403830
1.1900000,0.4400000,0.4177756,-2.5821686,19.1571223,-28.0116903
1.1950000,0.4450000,0.4227756,-2.4953705,19.1970211,-27.7872258
1.2000000,0.4500000,0.4277756,-2.4119775,19.2332208,-27.5685262
1.2050000,0.4550000,0.4327756,-2.3315938,19.2658930,-27.3566894
1.2100000,0.4600000,0.4377756,-2.2539467,19.2951974,-27.1522271
1.2150000,0.4650000,0.4427756,-2.1788754,19.3212920,-26.9550337
1.2200000,0.4700000,0.4477756,-2.1062668,19.3443395,-26.7644624
1.2250000,0.4750000,0.4527756,-2.0359831,19.3645056,-26.5794830
1.2300000,0.4800000,0.4577756,-1.9678295,19.3819525,-26.3989038
1.2350000,0.4850000,0.4627756,-1.9015767,19.3968313,-26.2216213
1.2400000,0.4900000,0.4677756,-1.8370100,19.4092779,-26.0468232
1.2450000,0.4950000,0.4727756,-1.7739713,19.4194121,-25.8740585
1.2500000,0.5000000,0.4777756,-1.7123779,19.4273397,-25.7031360
1.2550000,0.5050000,0.4827756,-1.6522163,19.4331553,-25.5339225
1.2600000,0.5100000,0.4877756,-1.5935241,19.4369455,-25.3661783
