# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.9758333,0.9758333,0.9574119,-0.3247192,-0.2539653,-0.7963948,-0.0672715,-0.5792014,-2.8112540,-9.7669793,-27.1287512
0.9808333,0.9808333,0.9624119,-0.3187567,-0.2493016,-0.7817762,-0.0660359,-0.5685693,-2.7597822,-9.5896109,-26.6465563
0.9858333,0.9858333,0.9674119,-0.3129307,-0.2447447,-0.7674917,-0.0648286,-0.5581802,-2.7094803,-9.4162024,-26.1746072
0.9908333,0.9908333,0.9724119,-0.3072372,-0.2402914,-0.7535321,-0.0636488,-0.5480274,-2.6603164,-9.2466492,-25.7126616
0.9958333,0.9958333,0.9774119,-0.3016726,-0.2359390,-0.7398884,-0.0624957,-0.5381044,-2.6122594,-9.0808499,-25.2604827
1.0008333,1.0008333,0.9824119,-0.2962335,-0.2316848,-0.7265520,-0.0613686,-0.5284049,-2.5652793,-8.9187058,-24.8178390
1.0058333,1.0058333,0.9874119,-0.2909163,-0.2275259,-0.7135145,-0.0602668,-0.5189228,-2.5193470,-8.7601214,-24.3845045
1.0108333,1.0108333,0.9924119,-0.2857178,-0.2234598,-0.7007677,-0.0591896,-0.5096522,-2.4744343,-8.6050040,-23.9602587
1.0158333,1.0158333,0.9974119,-0.2806347,-0.2194841,-0.6883039,-0.0581363,-0.5005873,-2.4305139,-8.4532637,-23.5448860
1.0208333,1.0208333,1.0024119,-0.2756640,-0.2155963,-0.6761154,-0.0571064,-0.4917227,-2.3875594,-8.3048131,-23.1381762
1.0258333,1.0258333,1.0074119,-0.2708026,-0.2117939,-0.6641948,-0.0560990,-0.4830530,-2.3455453,-8.1595674,-22.7399242
1.0308333,1.0308333,1.0124119,-0.2660476,-0.2080749,-0.6525351,-0.0551138,-0.4745730,-2.3044466,-8.0174444,-22.3499297
1.0358333,1.0358333,1.0174119,-0.2613963,-0.2044368,-0.6411293,-0.0541500,-0.4662776,-2.2642394,-7.8783643,-21.9679975
1.0408333,1.0408333,1.0224119,-0.2568458,-0.2008777,-0.6299707,-0.0532072,-0.4581621,-2.2249003,-7.7422495,-21.5939370
1.0458333,1.0458333,1.0274119,-0.2523935,-0.1973954,-0.6190529,-0.0522847,-0.4502217,-2.1864068,-7.6090249,-21.2275626
1.0508333,1.0508333,1.0324119,-0.2480369,-0.1939880,-0.6083696,-0.0513820,-0.4424519,-2.1487369,-7.4786173,-20.8686929
1.0558333,1.0558333,1.0374119,-0.2437735,-0.1906534,-0.5979146,-0.0504987,-0.4348481,-2.1118695,-7.3509558,-20.5171515
1.0608333,1.0608333,1.0424119,-0.2396008,-0.1873898,-0.5876821,-0.0496341,-0.4274062,-2.0757839,-7.2259715,-20.1727660
1.0658333,1.0658333,1.0474119,-0.2355166,-0.1841954,-0.5776664,-0.0487879,-0.4201219,-2.0404601,-7.1035975,-19.8353685
1.0708333,1.0708333,1.0524119,-0.2315185,-0.1810684,-0.5678619,-0.0479596,-0.4129912,-2.0058789,-6.9837689,-19.5047954
1.0758333,1.0758333,1.0574119,-0.2276044,-0.1780071,-0.5582632,-0.0471486,-0.4060102,-1.9720213,-6.8664225,-19.1808870
1.0808333,1.0808333,1.0624119,-0.2237722,-0.1750098,-0.5488651,-0.0463546,-0.3991751,-1.9388691,-6.7514970,-18.8634878
1.0858333,1.0858333,1.0674119,-0.2200197,-0.1720749,-0.5396626,-0.0455772,-0.3924822,-1.9064047,-6.6389328,-18.5524463
1.0908333,1.0908333,1.0724119,-0.2163449,-0.1692008,-0.5306506,-0.0448158,-0.3859280,-1.8746108,-6.5286721,-18.2476146
1.0958333,1.0958333,1.0774119,-0.2127460,-0.1663860,-0.5218246,-0.0440702,-0.3795090,-1.8434708,-6.4206586,-17.9488488
1.1008333,1.1008333,1.0824119,-0.2092210,-0.1636290,-0.5131798,-0.0433399,-0.3732218,-1.8129685,-6.3148377,-17.6560084
1.1058333,1.1058333,1.0874119,-0.2057681,-0.1609284,-0.5047117,-0.0426245,-0.3670631,-1.7830882,-6.2111562,-17.3689567
1.1108333,1.1108333,1.0924119,-0.2023855,-0.1582829,-0.4964160,-0.0419237,-0.3610298,-1.7538146,-6.1095626,-17.0875603
1.1158333,1.1158333,1.0974119,-0.1990715,-0.1556909,-0.4882885,-0.0412372,-0.3551188,-1.7251328,-6.0100066,-16.8116893
1.1208333,1.1208333,1.1024119,-0.1958244,-0.1531513,-0.4803250,-0.0405644,-0.3493271,-1.6970285,-5.9124394,-16.5412171
1.1258333,1.1258333,1.1074119,-0.1926425,-0.1506628,-0.4725216,-0.0399053,-0.3436518,-1.6694878,-5.8168136,-16.2760202
1.1308333,1.1308333,1.1124119,-0.1895244,-0.1482240,-0.4648743,-0.0392593,-0.3380901,-1.6424969,-5.7230830,-16.0159783
1.1358333,1.1358333,1.1174119,-0.1864684,-0.1458339,-0.4573794,-0.0386262,-0.3326392,-1.6160427,-5.6312029,-15.7609742
1.1408333,1.1408333,1.1224119,-0.1834731,-0.1434913,-0.4500333,-0.0380056,-0.3272965,-1.5901124,-5.5411296,-15.5108936
1.1458333,1.1458333,1.1274119,-0.1805370,-0.1411949,-0.4428324,-0.0373974,-0.3220594,-1.5646935,-5.4528206,-15.2656252
1.1508333,1.1508333,1.1324119,-0.1776588,-0.1389438,-0.4357731,-0.0368011,-0.3169254,-1.5397738,-5.3662347,-15.0250603
1.1558333,1.1558333,1.1374119,-0.1748369,-0.1367368,-0.4288523,-0.0362165,-0.3118920,-1.5153416,-5.2813317,-14.7890932
1.1608333,1.1608333,1.1424119,-0.1720701,-0.1345729,-0.4220665,-0.0356433,-0.3069569,-1.4913854,-5.1980726,-14.5576207
1.1658333,1.1658333,1.1474119,-0.1693572,-0.1324511,-0.4154127,-0.0350813,-0.3021177,-1.4678941,-5.1164193,-14.3305423
1.1708333,1.1708333,1.1524119,-0.1666968,-0.1303704,-0.4088877,-0.0345301,-0.2973723,-1.4448568,-5.0363348,-14.1077600
1.1758333,1.1758333,1.1574119,-0.1640877,-0.1283298,-0.4024886,-0.0339896,-0.2927183,-1.4222630,-4.9577832,-13.8891783
1.1808333,1.1808333,1.1624119,-0.1615287,-0.1263285,-0.3962124,-0.0334595,-0.2881538,-1.4001024,-4.8807294,-13.6747039
1.1858333,1.1858333,1.1674119,-0.1590187,-0.1243654,-0.3900562,-0.0329395,-0.2836765,-1.3783651,-4.8051392,-13.4642461
1.1908333,1.1908333,1.1724119,-0.1565566,-0.1224398,-0.3840174,-0.0324295,-0.2792846,-1.3570414,-4.7309795,-13.2577163
1.1958333,1.1958333,1.1774119,-0.1541412,-0.1205507,-0.3780932,-0.0319291,-0.2749761,-1.3361217,-4.6582180,-13.0550282
1.2008333,1.2008333,1.1824119,-0.1517714,-0.1186973,-0.3722810,-0.0314382,-0.2707490,-1.3155970,-4.5868232,-12.8560976
1.2058333,1.2058333,1.1874119,-0.1494464,-0.1168789,-0.3665783,-0.0309565,-0.2666016,-1.2954582,-4.5167643,-12.6608425
1.2108333,1.2108333,1.1924119,-0.1471649,-0.1150945,-0.3609825,-0.0304839,-0.2625319,-1.2756967,-4.4480116,-12.4691828
1.2158333,1.2158333,1.1974119,-0.1449261,-0.1133436,-0.3554914,-0.0300201,-0.2585383,-1.2563040,-4.3805360,-12.2810405
1.2208333,1.2208333,1.2024119,-0.1427290,-0.1116252,-0.3501025,-0.0295650,-0.2546191,-1.2372718,-4.3143092,-12.0963393
1.2258333,1.2258333,1.2074119,-0.1405726,-0.1099387,-0.3448135,-0.0291183,-0.2507726,-1.2185921,-4.2493035,-11.9150051
1.2308333,1.2308333,1.2124119,-0.1384561,-0.1082834,-0.3396222,-0.0286798,-0.2469971,-1.2002571,-4.1854921,-11.7369654
1.2358333,1.2358333,1.2174119,-0.1363785,-0.1066586,-0.3345265,-0.0282494,-0.2432911,-1.1822591,-4.1228489,-11.5621495
1.2408333,1.2408333,1.2224119,-0.1343391,-0.1050635,-0.3295243,-0.0278270,-0.2396531,-1.1645908,-4.0613481,-11.3904886
1.2458333,1.2458333,1.2274119,-0.1323369,-0.1034976,-0.3246134,-0.0274122,-0.2360816,-1.1472448,-4.0009651,-11.2219155
