# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
1.2150000,0.4650000,0.4351329,-2.2021804,-61.3954434,-106.1108376,-0.6156346,-3.3992686,-25.0373305,-46.9648503,-2.6005882,-1.6376984,-3.3092331,-76.1185714,-119.9817861,-1.2045267,-4.5632225,-39.5064283,-59.9768374,-3.9010523,-2.4672421
1.2200000,0.4700000,0.4401329,-2.1273701,-60.7791691,-103.8877747,-0.5886631,-3.2937273,-24.6734758,-45.8506427,-2.5117315,-1.5825888,-3.1994276,-75.5023331,-117.7051137,-1.1556715,-4.4601429,-39.1413775,-58.8045835,-3.7716094,-2.3853752
1.2250000,0.4750000,0.4451329,-2.0541460,-60.1738401,-101.7198574,-0.5630179,-3.1914696,-24.3181261,-44.7689147,-2.4249783,-1.5284103,-3.0895566,-74.8968996,-115.4786153,-1.1049332,-4.3850745,-38.7840256,-57.6632247,-3.6420892,-2.3034595
1.2300000,0.4800000,0.4501329,-1.9824453,-59.5792061,-99.6070393,-0.5386470,-3.0921918,-23.9710415,-43.7187159,-2.3401851,-1.4752010,-2.9804096,-74.3020377,-113.3028139,-1.0536722,-4.2976386,-38.4341912,-56.5521895,-3.5134225,-2.2220835
1.2350000,0.4850000,0.4551329,-1.9122858,-58.9950154,-97.5489356,-0.5154950,-2.9955853,-23.6319809,-42.6990933,-2.2573099,-1.4230435,-2.8726221,-73.7175099,-111.1778883,-1.0028550,-4.2006406,-38.0916866,-55.4708500,-3.3863584,-2.1417211
1.2400000,0.4900000,0.4601329,-1.8437407,-58.4210163,-95.5448869,-0.4935047,-2.9013546,-23.3007044,-41.7091067,-2.1763893,-1.3720418,-2.7667000,-73.1430753,-109.1037329,-0.9531548,-4.0964405,-37.7563198,-54.4185358,-3.2614933,-2.0627495
1.2450000,0.4950000,0.4651329,-1.7769108,-57.8569577,-93.5940156,-0.4726187,-2.8092461,-22.9769747,-40.7478409,-2.0975088,-1.3223030,-2.6630395,-72.5784914,-107.0800077,-0.9050273,-3.9870168,-37.4278964,-53.3945448,-3.1392943,-1.9854640
1.2500000,0.5000000,0.4701329,-1.7119029,-57.3025897,-91.6952749,-0.4527803,-2.7190751,-22.6605588,-39.8144173,-2.0207746,-1.2739245,-2.5619451,-72.0235151,-105.1061819,-0.8587671,-3.8740229,-37.1062207,-52.3981537,-3.0201203,-1.9100918
1.2550000,0.5050000,0.4751329,-1.6488136,-56.7576645,-89.8474917,-0.4339344,-2.6307378,-22.3512281,-38.9080033,-1.9462915,-1.2269863,-2.4636446,-71.4779041,-103.1815697,-0.8145508,-3.7588345,-36.7910976,-51.4286252,-2.9042399,-1.8368026
1.2600000,0.5100000,0.4801329,-1.5877207,-56.2219366,-88.0494026,-0.4160277,-2.5442078,-22.0487598,-38.0278206,-1.8741485,-1.1815482,-2.3683016,-70.9414171,-101.3053619,-0.7724683,-3.6425910,-36.4823332,-50.4852154,-2.7918459,-1.7657184
1.2650000,0.5150000,0.4851329,-1.5286786,-55.6951635,-86.2996862,-0.3990091,-2.4595201,-21.7529369,-37.1731527,-1.8044115,-1.1376493,-2.2765178,-70.4138153,-99.4766519,-0.7325468,-3.5262304,-36.1797357,-49.5671788,-2.6836476,-1.6972877
1.2700000,0.5200000,0.4901329,-1.4717183,-55.1771062,-84.5969912,-0.3828297,-2.3767501,-21.4635489,-36.3433507,-1.7371201,-1.0953098,-2.2069784,-69.8948623,-97.6944574,-0.6947693,-3.4105202,-35.8831159,-48.6737732,-2.6016717,-1.6454417
1.2750000,0.5250000,0.4951329,-1.4168488,-54.6675294,-82.9399616,-0.3674432,-2.2959925,-21.1803918,-35.5378389,-1.6722889,-1.0545328,-2.1352916,-69.3843250,-95.9577399,-0.6590873,-3.2960828,-35.5922879,-47.8042631,-2.5171645,-1.5919946
1.2800000,0.5300000,0.5001329,-1.3640599,-54.1662021,-81.3272617,-0.3528057,-2.2173447,-20.9032679,-34.7561190,-1.6099096,-1.0153077,-2.0625894,-68.8819741,-94.2654198,-0.6254312,-3.1834182,-35.3070698,-46.9579229,-2.4314604,-1.5377906
1.2850000,0.5350000,0.5051329,-1.3133256,-53.6728973,-79.7576012,-0.3388757,-2.1408947,-20.6319867,-33.9977728,-1.5499545,-0.9776122,-1.9897552,-68.3875841,-92.6163895,-0.5937178,-3.0729227,-35.0272834,-46.1340394,-2.3456007,-1.4834881
1.2900000,0.5400000,0.5101329,-1.2646068,-53.1873930,-78.2297623,-0.3256140,-2.0667135,-20.3663639,-33.2624636,-1.4923801,-0.9414152,-1.9182957,-67.9009338,-91.0095248,-0.5638555,-2.9649050,-34.7527549,-45.3319134,-2.2613614,-1.4302105
1.2950000,0.5450000,0.5151329,-1.2178549,-52.7094717,-76.7426320,-0.3129836,-1.9948519,-20.1062222,-32.5499360,-1.4371308,-0.9066788,-1.8575185,-67.4218066,-89.4436937,-0.5357487,-2.8596007,-34.4833150,-44.5508614,-2.1897149,-1.3848973
1.3000000,0.5500000,0.5201329,-1.1730136,-52.2389208,-75.2952398,-0.3009500,-1.9253397,-19.8513906,-31.8600130,-1.3841416,-0.8733603,-1.7950816,-66.9499907,-87.9177642,-0.5093004,-2.7571836,-34.2187990,-43.7902164,-2.1161118,-1.3383466
