AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
122,IFE122,IFE,0.44538888888890305,-1.3238749999999868,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
123,IFE123,IFE,0.2673888888889029,-1.197874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
124,IFE124,IFE,0.44538888888890305,-1.071874999999987,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
125,IFE125,IFE,0.2673888888889029,-0.9458749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
126,IFE126,IFE,0.44538888888890305,-0.8198749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
127,IFE127,IFE,0.2673888888889029,-0.6938749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
128,IFE128,IFE,0.44538888888890305,-0.5668749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
129,IFE129,IFE,0.2673888888889029,-0.440874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
130,IFE130,IFE,0.44538888888890305,-0.3148749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
131,IFE131,IFE,0.2673888888889029,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
132,IFE132,IFE,0.44538888888890305,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
133,IFE133,IFE,0.2673888888889029,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
134,IFE134,IFE,0.44538888888890305,0.1891250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
135,IFE135,IFE,0.2673888888889029,0.315125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
136,IFE136,IFE,0.44538888888890305,0.4411250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
137,IFE137,IFE,0.2673888888889029,0.567125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
138,IFE138,IFE,0.44538888888890305,0.6931250000000129,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
139,IFE139,IFE,0.2673888888889029,0.8191250000000132,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
140,IFE140,IFE,0.44538888888890305,0.9451250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
141,IFE141,IFE,0.2673888888889029,1.0721250000000129,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
142,IFE142,IFE,0.44538888888890305,1.1981250000000132,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
143,IFE143,IFE,0.2673888888889029,1.324125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
144,IFE144,IFE,0.44538888888890305,1.450125000000013,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
145,IFE145,IFE,0.6243888888889031,-1.449874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
146,IFE146,IFE,0.802388888888903,-1.3238749999999868,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
147,IFE147,IFE,0.6243888888889031,-1.197874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
148,IFE148,IFE,0.802388888888903,-1.071874999999987,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
149,IFE149,IFE,0.6243888888889031,-0.9458749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
150,IFE150,IFE,0.802388888888903,-0.8198749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
151,IFE151,IFE,0.6243888888889031,-0.6938749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
152,IFE152,IFE,0.802388888888903,-0.5668749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
153,IFE153,IFE,0.6243888888889031,-0.440874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
154,IFE154,IFE,0.802388888888903,-0.3148749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
155,IFE155,IFE,0.6243888888889031,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
156,IFE156,IFE,0.802388888888903,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
157,IFE157,IFE,0.6243888888889031,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
158,IFE158,IFE,0.802388888888903,0.1891250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
159,IFE159,IFE,0.6243888888889031,0.315125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
160,IFE160,IFE,0.802388888888903,0.4411250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
161,IFE161,IFE,0.6243888888889031,0.567125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
162,IFE162,IFE,0.802388888888903,0.6931250000000129,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
163,IFE163,IFE,0.6243888888889031,0.8191250000000132,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
164,IFE164,IFE,0.802388888888903,0.9451250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
165,IFE165,IFE,0.6243888888889031,1.0721250000000129,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
166,IFE166,IFE,0.802388888888903,1.1981250000000132,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
167,IFE167,IFE,0.6243888888889031,1.324125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
168,IFE168,IFE,0.802388888888903,1.450125000000013,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
169,IFE169,IFE,0.980388888888903,-1.449874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
