# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.1200000,0.1200000,0.1200000,inf,nan,9950249.5871768,17033.5687270,10883.4785472,70407.1137481,958.7236448,49545.6118198,17080.1602669,16986.9771872,20079.8317638,12699.6006813,363258.5633470,17033.5687270,10883.4785472,70407.1137481,946.4787416,49545.6118198,17080.1602669,16986.9771872,20079.8317638,12699.6006813,363258.5633470
0.1225000,0.1225000,0.1225000,inf,nan,8652890.4555439,15713.7876031,10038.5338057,65086.5568502,878.6273934,45800.7586173,15760.7489763,15666.8262299,18524.0225638,11715.6205460,335791.7360497,15713.7876031,10038.5338057,65086.5568502,866.3824903,45800.7586173,15760.7489763,15666.8262299,18524.0225638,11715.6205460,335791.7360497
0.1250000,0.1250000,0.1250000,inf,nan,9294960.7538314,14509.5128449,9267.7500648,60229.9816093,805.6958634,42382.5842940,14556.8462431,14462.1794466,17104.3767497,10817.7576973,310721.0510740,14509.5128449,9267.7500648,60229.9816093,793.4509602,42382.5842940,14556.8462431,14462.1794466,17104.3767497,10817.7576973,310721.0510740
0.1275000,0.1275000,0.1275000,inf,nan,12486035.0228497,13410.0830265,8564.2642668,55794.7826424,739.2549925,39261.0805918,13457.7894624,13362.3765906,15808.3262190,9998.0633694,287826.3866113,13410.0830265,8564.2642668,55794.7826424,727.0100894,39261.0805918,13457.7894624,13362.3765906,15808.3262190,9998.0633694,287826.3866113
0.1300000,0.1300000,0.1300000,inf,nan,20079689.9029529,12405.9522157,7921.9348609,51742.7567193,678.7034938,36409.3422745,12454.0315557,12357.8728756,14624.6178562,9249.4204670,266910.3869271,12405.9522157,7921.9348609,51742.7567193,666.4585907,36409.3422745,12454.0315557,12357.8728756,14624.6178562,9249.4204670,266910.3869271
0.1325000,0.1325000,0.1325000,inf,nan,24041752.7284445,11488.5356591,7335.2422720,48039.4892813,623.5029242,33803.1349206,11536.9866578,11440.0846604,13543.1316211,8565.4285148,247795.2917264,11488.5356591,7335.2422720,48039.4892813,611.2580211,33803.1349206,11536.9866578,11440.0846604,13543.1316211,8565.4285148,247795.2917264
0.1350000,0.1350000,0.1350000,inf,nan,14873147.5423990,10650.0791435,6799.2045576,44653.8364103,573.1692316,31420.5298986,10698.8994789,10601.2588081,12554.7265462,7940.3062573,230320.2582637,10650.0791435,6799.2045576,44653.8364103,560.9243284,31420.5298986,10698.8994789,10601.2588081,12554.7265462,7940.3062573,230320.2582637
0.1375000,0.1375000,0.1375000,inf,nan,9434584.7042637,9883.5490607,6309.3063427,41557.4903556,527.2655915,29241.5981513,9932.7353711,9834.3627503,11651.1111411,7368.8096955,214339.1147688,9883.5490607,6309.3063427,41557.4903556,515.0206884,29241.5981513,9932.7353711,9834.3627503,11651.1111411,7368.8096955,214339.1147688
0.1400000,0.1400000,0.1400000,inf,nan,6124890.9763507,9182.5404510,5861.4392792,38724.6176659,485.3963629,27248.1550775,9232.0883728,9132.9925292,10824.7349909,6846.1635278,199718.4886313,9182.5404510,5861.4392792,38724.6176659,473.1514597,27248.1550775,9232.0883728,9132.9925292,10824.7349909,6846.1635278,199718.4886313
0.1425000,0.1425000,0.1425000,inf,nan,4064648.6158056,8541.2005386,5451.8524381,36131.5599036,447.2020054,25423.5494572,8591.1047452,8491.2963319,10068.6986165,6368.0041404,186336.2576052,8541.2005386,5451.8524381,36131.5599036,434.9571022,25423.5494572,8591.1047452,8491.2963319,10068.6986165,6368.0041404,186336.2576052
