# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.7950000,0.7950000,0.7950000,-0.0730153,1.2580944,-0.8103005,-0.0730153,168.5787442,-184.3633176,-0.0172368,-0.1250986,85.1534549,-90.3148903,-0.0860894,-0.0544231,-0.9358206
0.7975000,0.7975000,0.7975000,-0.0715444,1.2541437,-0.8022118,-0.0715444,168.0971539,-183.7008279,-0.0168883,-0.1225948,84.9052836,-89.9975835,-0.0843545,-0.0533271,-0.9167357
0.8000000,0.8000000,0.8000000,-0.0701080,1.2502179,-0.7942321,-0.0701080,167.6180497,-183.0433211,-0.0165481,-0.1201490,84.6584361,-89.6827114,-0.0826605,-0.0522569,-0.8981117
0.8025000,0.8025000,0.8025000,-0.0687053,1.2463166,-0.7863596,-0.0687053,167.1414151,-182.3907399,-0.0162159,-0.1177599,84.4129034,-89.3702449,-0.0810062,-0.0512118,-0.8799356
0.8050000,0.8050000,0.8050000,-0.0673354,1.2424396,-0.7785925,-0.0673354,166.6672342,-181.7430282,-0.0158916,-0.1154258,84.1686768,-89.0601551,-0.0793906,-0.0501911,-0.8621950
0.8075000,0.8075000,0.8075000,-0.0659975,1.2385868,-0.7709289,-0.0659975,166.1954909,-181.1001306,-0.0155749,-0.1131454,83.9257475,-88.7524139,-0.0778127,-0.0491942,-0.8448777
0.8100000,0.8100000,0.8100000,-0.0646905,1.2347578,-0.7633671,-0.0646905,165.7261694,-180.4619927,-0.0152656,-0.1109172,83.6841067,-88.4469932,-0.0762714,-0.0482204,-0.8279720
0.8125000,0.8125000,0.8125000,-0.0634139,1.2309524,-0.7559055,-0.0634139,165.2592539,-179.8285609,-0.0149636,-0.1087401,83.4437458,-88.1438658,-0.0747659,-0.0472691,-0.8114665
0.8150000,0.8150000,0.8150000,-0.0621667,1.2271705,-0.7485423,-0.0621667,164.7947287,-179.1997823,-0.0146685,-0.1066125,83.2046562,-87.8430045,-0.0732950,-0.0463397,-0.7953501
0.8175000,0.8175000,0.8175000,-0.0609482,1.2234117,-0.7412759,-0.0609482,164.3325783,-178.5756049,-0.0143803,-0.1045333,82.9668293,-87.5443830,-0.0718581,-0.0454317,-0.7796122
0.8200000,0.8200000,0.8200000,-0.0597576,1.2196760,-0.7341047,-0.0597576,163.8727874,-177.9559777,-0.0140988,-0.1025013,82.7302565,-87.2479748,-0.0704540,-0.0445445,-0.7642424
