# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.5925000,0.5925000,0.5925000,-0.2121546,-0.0062130,-0.9526067,-0.2121546,-0.1868821,-0.4721951
0.5950000,0.5950000,0.5950000,-0.2069335,-0.0061419,-0.9403552,-0.2069335,-0.1824029,-0.4610197
0.5975000,0.5975000,0.5975000,-0.2018548,-0.0060720,-0.9283112,-0.2018548,-0.1780470,-0.4501166
0.6000000,0.6000000,0.6000000,-0.1969146,-0.0060030,-0.9164705,-0.1969146,-0.1738107,-0.4394805
0.6025000,0.6025000,0.6025000,-0.1921089,-0.0059350,-0.9048288,-0.1921089,-0.1696905,-0.4291060
0.6050000,0.6050000,0.6050000,-0.1874339,-0.0058680,-0.8933822,-0.1874339,-0.1656829,-0.4189878
0.6075000,0.6075000,0.6075000,-0.1828859,-0.0058019,-0.8821266,-0.1828859,-0.1617847,-0.4091205
0.6100000,0.6100000,0.6100000,-0.1784614,-0.0057367,-0.8710582,-0.1784614,-0.1579926,-0.3994986
0.6125000,0.6125000,0.6125000,-0.1741569,-0.0056725,-0.8601731,-0.1741569,-0.1543035,-0.3901166
0.6150000,0.6150000,0.6150000,-0.1699688,-0.0056092,-0.8494678,-0.1699688,-0.1507143,-0.3809693
0.6175000,0.6175000,0.6175000,-0.1658939,-0.0055467,-0.8389385,-0.1658939,-0.1472221,-0.3720512
0.6200000,0.6200000,0.6200000,-0.1619290,-0.0054852,-0.8285817,-0.1619290,-0.1438240,-0.3633569
0.6225000,0.6225000,0.6225000,-0.1580708,-0.0054244,-0.8183939,-0.1580708,-0.1405172,-0.3548811
0.6250000,0.6250000,0.6250000,-0.1543164,-0.0053645,-0.8083719,-0.1543164,-0.1372990,-0.3466187
0.6275000,0.6275000,0.6275000,-0.1506626,-0.0053055,-0.7985122,-0.1506626,-0.1341668,-0.3385645
0.6300000,0.6300000,0.6300000,-0.1471068,-0.0052472,-0.7888117,-0.1471068,-0.1311181,-0.3307133
0.6325000,0.6325000,0.6325000,-0.1436459,-0.0051898,-0.7792672,-0.1436459,-0.1281504,-0.3230601
0.6350000,0.6350000,0.6350000,-0.1402773,-0.0051331,-0.7698756,-0.1402773,-0.1252613,-0.3156001
0.6375000,0.6375000,0.6375000,-0.1369983,-0.0050772,-0.7606340,-0.1369983,-0.1224486,-0.3083284
0.6400000,0.6400000,0.6400000,-0.1338063,-0.0050221,-0.7515393,-0.1338063,-0.1197099,-0.3012401
0.6425000,0.6425000,0.6425000,-0.1306989,-0.0049677,-0.7425888,-0.1306989,-0.1170431,-0.2943307
0.6450000,0.6450000,0.6450000,-0.1276735,-0.0049141,-0.7337795,-0.1276735,-0.1144461,-0.2875956
0.6475000,0.6475000,0.6475000,-0.1247279,-0.0048612,-0.7251089,-0.1247279,-0.1119169,-0.2810302
0.6500000,0.6500000,0.6500000,-0.1218597,-0.0048089,-0.7165740,-0.1218597,-0.1094534,-0.2746302
0.6525000,0.6525000,0.6525000,-0.1190667,-0.0047574,-0.7081725,-0.1190667,-0.1070538,-0.2683913
0.6550000,0.6550000,0.6550000,-0.1163467,-0.0047066,-0.6999016,-0.1163467,-0.1047163,-0.2623093
0.6575000,0.6575000,0.6575000,-0.1136977,-0.0046565,-0.6917589,-0.1136977,-0.1024389,-0.2563801
0.6600000,0.6600000,0.6600000,-0.1111176,-0.0046070,-0.6837419,-0.1111176,-0.1002200,-0.2505997
0.6625000,0.6625000,0.6625000,-0.1086045,-0.0045582,-0.6758482,-0.1086045,-0.0980579,-0.2449642
0.6650000,0.6650000,0.6650000,-0.1061563,-0.0045101,-0.6680756,-0.1061563,-0.0959510,-0.2394697
0.6675000,0.6675000,0.6675000,-0.1037714,-0.0044626,-0.6604216,-0.1037714,-0.0938976,-0.2341126
0.6700000,0.6700000,0.6700000,-0.1014478,-0.0044157,-0.6528841,-0.1014478,-0.0918962,-0.2288892
0.6725000,0.6725000,0.6725000,-0.0991839,-0.0043695,-0.6454609,-0.0991839,-0.0899454,-0.2237959
0.6750000,0.6750000,0.6750000,-0.0969778,-0.0043238,-0.6381498,-0.0969778,-0.0880437,-0.2188294
0.6775000,0.6775000,0.6775000,-0.0948281,-0.0042788,-0.6309487,-0.0948281,-0.0861897,-0.2139862
0.6800000,0.6800000,0.6800000,-0.0927331,-0.0042343,-0.6238556,-0.0927331,-0.0843821,-0.2092631
0.6825000,0.6825000,0.6825000,-0.0906912,-0.0041905,-0.6168685,-0.0906912,-0.0826195,-0.2046569
0.6850000,0.6850000,0.6850000,-0.0887010,-0.0041472,-0.6099854,-0.0887010,-0.0809006,-0.2001645
0.6875000,0.6875000,0.6875000,-0.0867609,-0.0041045,-0.6032043,-0.0867609,-0.0792243,-0.1957828
0.6900000,0.6900000,0.6900000,-0.0848697,-0.0040623,-0.5965236,-0.0848697,-0.0775893,-0.1915089
0.6925000,0.6925000,0.6925000,-0.0830259,-0.0040207,-0.5899412,-0.0830259,-0.0759945,-0.1873400
0.6950000,0.6950000,0.6950000,-0.0812281,-0.0039796,-0.5834553,-0.0812281,-0.0744388,-0.1832732
0.6975000,0.6975000,0.6975000,-0.0794752,-0.0039391,-0.5770644,-0.0794752,-0.0729210,-0.1793059
0.7000000,0.7000000,0.7000000,-0.0777659,-0.0038991,-0.5707665,-0.0777659,-0.0714402,-0.1754353
0.7025000,0.7025000,0.7025000,-0.0760989,-0.0038596,-0.5645600,-0.0760989,-0.0699952,-0.1716590
0.7050000,0.7050000,0.7050000,-0.0744731,-0.0038206,-0.5584434,-0.0744731,-0.0685851,-0.1679744
0.7075000,0.7075000,0.7075000,-0.0728873,-0.0037821,-0.5524149,-0.0728873,-0.0672090,-0.1643791
0.7100000,0.7100000,0.7100000,-0.0713405,-0.0037441,-0.5464730,-0.0713405,-0.0658659,-0.1608707
0.7125000,0.7125000,0.7125000,-0.0698315,-0.0037066,-0.5406161,-0.0698315,-0.0645549,-0.1574470
0.7150000,0.7150000,0.7150000,-0.0683594,-0.0036696,-0.5348428,-0.0683594,-0.0632752,-0.1541056
0.7175000,0.7175000,0.7175000,-0.0669230,-0.0036331,-0.5291516,-0.0669230,-0.0620258,-0.1508445
0.7200000,0.7200000,0.7200000,-0.0655216,-0.0035970,-0.5235409,-0.0655216,-0.0608060,-0.1476615
0.7225000,0.7225000,0.7225000,-0.0641540,-0.0035614,-0.5180094,-0.0641540,-0.0596149,-0.1445545
0.7250000,0.7250000,0.7250000,-0.0628194,-0.0035262,-0.5125558,-0.0628194,-0.0584518,-0.1415215
0.7275000,0.7275000,0.7275000,-0.0615168,-0.0034915,-0.5071786,-0.0615168,-0.0573159,-0.1385607
0.7300000,0.7300000,0.7300000,-0.0602455,-0.0034572,-0.5018764,-0.0602455,-0.0562065,-0.1356701
0.7325000,0.7325000,0.7325000,-0.0590046,-0.0034234,-0.4966481,-0.0590046,-0.0551230,-0.1328478
0.7350000,0.7350000,0.7350000,-0.0577932,-0.0033900,-0.4914923,-0.0577932,-0.0540645,-0.1300922
0.7375000,0.7375000,0.7375000,-0.0566105,-0.0033570,-0.4864078,-0.0566105,-0.0530304,-0.1274014
0.7400000,0.7400000,0.7400000,-0.0554559,-0.0033244,-0.4813933,-0.0554559,-0.0520202,-0.1247737
0.7425000,0.7425000,0.7425000,-0.0543285,-0.0032922,-0.4764477,-0.0543285,-0.0510331,-0.1222076
0.7450000,0.7450000,0.7450000,-0.0532276,-0.0032604,-0.4715697,-0.0532276,-0.0500685,-0.1197014
0.7475000,0.7475000,0.7475000,-0.0521526,-0.0032291,-0.4667583,-0.0521526,-0.0491259,-0.1172536
0.7500000,0.7500000,0.7500000,-0.0511026,-0.0031981,-0.4620122,-0.0511026,-0.0482047,-0.1148626
0.7525000,0.7525000,0.7525000,-0.0500772,-0.0031675,-0.4573305,-0.0500772,-0.0473043,-0.1125271
0.7550000,0.7550000,0.7550000,-0.0490756,-0.0031372,-0.4527119,-0.0490756,-0.0464242,-0.1102455
0.7575000,0.7575000,0.7575000,-0.0480972,-0.0031074,-0.4481554,-0.0480972,-0.0455639,-0.1080165
0.7600000,0.7600000,0.7600000,-0.0471413,-0.0030779,-0.4436601,-0.0471413,-0.0447228,-0.1058388
0.7625000,0.7625000,0.7625000,-0.0462075,-0.0030488,-0.4392248,-0.0462075,-0.0439005,-0.1037109
0.7650000,0.7650000,0.7650000,-0.0452952,-0.0030200,-0.4348486,-0.0452952,-0.0430964,-0.1016318
