# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.7075000,0.7075000,0.7075000,-0.1088231,-0.0025097,-0.8752520,-0.1088231,-7.3805031,-16.4595771,-0.0270026,-0.1820691,-2.8072506,-5.5906620,-0.1283017,-0.0811194,-1.3566231
0.7100000,0.7100000,0.7100000,-0.1064356,-0.0024813,-0.8656236,-0.1064356,-7.2934530,-16.2532482,-0.0263995,-0.1781443,-2.7715831,-5.5069080,-0.1254862,-0.0793402,-1.3270581
0.7125000,0.7125000,0.7125000,-0.1041082,-0.0024533,-0.8561367,-0.1041082,-7.2080069,-16.0500714,-0.0258122,-0.1743150,-2.7365510,-5.4246421,-0.1227417,-0.0776057,-1.2982273
0.7150000,0.7150000,0.7150000,-0.1018393,-0.0024258,-0.8467889,-0.1018393,-7.1241232,-15.8499887,-0.0252401,-0.1705785,-2.7021384,-5.3438343,-0.1200662,-0.0759149,-1.2701110
0.7175000,0.7175000,0.7175000,-0.0996272,-0.0023987,-0.8375776,-0.0996272,-7.0417618,-15.6529434,-0.0246829,-0.1669326,-2.6683299,-5.2644552,-0.1174578,-0.0742663,-1.2426900
0.7200000,0.7200000,0.7200000,-0.0974705,-0.0023720,-0.8285003,-0.0974705,-6.9608837,-15.4588799,-0.0241400,-0.1633748,-2.6351108,-5.1864760,-0.1149146,-0.0726590,-1.2159457
0.7225000,0.7225000,0.7225000,-0.0953674,-0.0023457,-0.8195546,-0.0953674,-6.8814513,-15.2677439,-0.0236111,-0.1599029,-2.6024666,-5.1098686,-0.1124348,-0.0710917,-1.1898598
0.7250000,0.7250000,0.7250000,-0.0933167,-0.0023199,-0.8107381,-0.0933167,-6.8034278,-15.0794822,-0.0230957,-0.1565147,-2.5703836,-5.0346056,-0.1100167,-0.0695633,-1.1644148
0.7275000,0.7275000,0.7275000,-0.0913168,-0.0022944,-0.8020485,-0.0913168,-6.7267779,-14.8940428,-0.0225934,-0.1532080,-2.5388481,-4.9606602,-0.1076585,-0.0680728,-1.1395933
0.7300000,0.7300000,0.7300000,-0.0893662,-0.0022693,-0.7934835,-0.0893662,-6.6514671,-14.7113747,-0.0221040,-0.1499807,-2.5078471,-4.8880059,-0.1053585,-0.0666190,-1.1153787
0.7325000,0.7325000,0.7325000,-0.0874638,-0.0022446,-0.7850408,-0.0874638,-6.5774621,-14.5314280,-0.0216269,-0.1468307,-2.4773679,-4.8166173,-0.1031153,-0.0652011,-1.0917546
0.7350000,0.7350000,0.7350000,-0.0856081,-0.0022202,-0.7767183,-0.0856081,-6.5047304,-14.3541539,-0.0211619,-0.1437560,-2.4473984,-4.7464692,-0.1009272,-0.0638180,-1.0687052
0.7375000,0.7375000,0.7375000,-0.0837978,-0.0021962,-0.7685139,-0.0837978,-6.4332407,-14.1795045,-0.0207085,-0.1407546,-2.4179265,-4.6775370,-0.0987927,-0.0624688,-1.0462151
