# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.5725000,0.5725000,0.5725000,-0.6468607,-0.0051060,-2.6834851,-0.6468607,-29.9841952,-36.8533127,-0.1830742,-0.8927058,-12.4650862,-14.6254276,-0.7638878,-0.4810745,-7.0172594,-1.1139249,-39.0479006,-47.8984722,-0.5245162,-1.2802348,-19.8508783,-23.9442246,-1.3131379,-0.8305013,-9.4926264
0.5750000,0.5750000,0.5750000,-0.6341821,-0.0051522,-2.6450174,-0.6341821,-29.6207033,-36.3192208,-0.1777009,-0.8848257,-12.2917686,-14.3880230,-0.7489737,-0.4715945,-6.9084120,-1.1157642,-38.6625277,-47.3305536,-0.5071890,-1.2546218,-19.6502487,-23.6542138,-1.3153061,-0.8318726,-9.3222990
0.5775000,0.5775000,0.5775000,-0.6213858,-0.0051901,-2.6072509,-0.6213858,-29.2629702,-35.7949561,-0.1725028,-0.8761674,-12.1214336,-14.1557056,-0.7339121,-0.4620347,-6.8044373,-1.1291603,-38.2828825,-46.7719508,-0.4903899,-1.2413496,-19.4526795,-23.3695302,-1.3310980,-0.8418603,-9.2227479
0.5800000,0.5800000,0.5800000,-0.6085218,-0.0052202,-2.5701737,-0.6085218,-28.9108827,-35.2803849,-0.1674747,-0.8667688,-11.9540206,-13.9283475,-0.7187614,-0.4524324,-6.7052422,-1.1373963,-37.9088530,-46.2225597,-0.4741146,-1.2269547,-19.2581112,-23.0900584,-1.3408069,-0.8480008,-9.1131782
0.5825000,0.5825000,0.5825000,-0.5956348,-0.0052433,-2.5337739,-0.5956348,-28.5643302,-34.7753645,-0.1626110,-0.8566774,-11.7894708,-13.7058235,-0.7035748,-0.4428209,-6.6104919,-1.1411302,-37.5403303,-45.6822669,-0.4583569,-1.2113667,-19.0664854,-22.8156846,-1.3452085,-0.8507846,-8.9950216
0.5850000,0.5850000,0.5850000,-0.5827651,-0.0052600,-2.4980395,-0.5827651,-28.2232045,-34.2797451,-0.1579065,-0.8459474,-11.6277263,-13.4880113,-0.6884000,-0.4332296,-6.5196286,-1.1409460,-37.1772075,-45.1509516,-0.4431091,-1.1947622,-18.8777450,-22.5462963,-1.3449914,-0.8506472,-8.8695637
0.5875000,0.5875000,0.5875000,-0.5699482,-0.0052709,-2.4629581,-0.5699482,-27.8873999,-33.7933711,-0.1533559,-0.8346377,-11.4687308,-13.2747912,-0.6732798,-0.4236845,-6.4319131,-1.1373621,-36.8193804,-44.6284867,-0.4283620,-1.1772995,-18.6918339,-22.2817830,-1.3407666,-0.8479753,-8.7379584
0.5900000,0.5900000,0.5900000,-0.5572154,-0.0052764,-2.4285176,-0.5572154,-27.5568131,-33.3160822,-0.1489540,-0.8228098,-11.3124289,-13.0660463,-0.6582518,-0.4142081,-6.3464847,-1.1308386,-36.4667472,-44.1147399,-0.4141057,-1.1652865,-18.5086974,-22.0220361,-1.3330764,-0.8431116,-8.7019536
0.5925000,0.5925000,0.5925000,-0.5445942,-0.0052772,-2.3947056,-0.5445942,-27.2313431,-32.8477150,-0.1446959,-0.8105264,-11.1587667,-12.8616627,-0.6433494,-0.4048201,-6.2624307,-1.1217835,-36.1192083,-43.6095751,-0.4003291,-1.1768074,-18.3282817,-21.7669488,-1.3224019,-0.8363604,-8.7806046
0.5950000,0.5950000,0.5950000,-0.5321083,-0.0052735,-2.3615101,-0.5321083,-26.9108911,-32.3881035,-0.1405766,-0.7978494,-11.0076913,-12.6615292,-0.6286012,-0.3955374,-6.1788557,-1.1105585,-35.7766665,-43.1128527,-0.3870208,-1.1839975,-18.1505344,-21.5164163,-1.3091694,-0.8279914,-8.8277622
0.5975000,0.5975000,0.5975000,-0.5197779,-0.0052659,-2.3289187,-0.5197779,-26.5953606,-31.9370801,-0.1365915,-0.7848397,-10.8591510,-12.4655375,-0.6140322,-0.3863744,-6.0949417,-1.0974842,-35.4390267,-42.6244313,-0.3741686,-1.1873652,-17.9754041,-21.2703361,-1.2937569,-0.8182437,-8.8471404
0.6000000,0.6000000,0.6000000,-0.5076204,-0.0052547,-2.2969195,-0.5076204,-26.2846571,-31.4944764,-0.1327359,-0.7715553,-10.7130954,-12.2735822,-0.5996635,-0.3773434,-6.0099930,-1.0828446,-35.1061962,-42.1441674,-0.3617603,-1.1873665,-17.8028404,-21.0286075,-1.2764993,-0.8073290,-8.8420687
0.6025000,0.6025000,0.6025000,-0.4956504,-0.0052403,-2.2655004,-0.4956504,-25.9786885,-31.0601237,-0.1290053,-0.7580518,-10.5694748,-12.0855606,-0.5855130,-0.3684543,-5.9234632,-1.0668911,-34.7780842,-41.6719167,-0.3497831,-1.1844100,-17.6327941,-20.7911322,-1.2576927,-0.7954347,-8.8155315
0.6050000,0.6050000,0.6050000,-0.4838798,-0.0052229,-2.2346498,-0.4838798,-25.6773644,-30.6338537,-0.1253954,-0.7443810,-10.4282411,-11.9013728,-0.5715956,-0.3597158,-5.8349662,-1.0498459,-34.4546021,-41.2075344,-0.3382244,-1.1788622,-17.4652172,-20.5578140,-1.2375991,-0.7827264,-8.7702037
0.6075000,0.6075000,0.6075000,-0.4723186,-0.0052028,-2.2043558,-0.4723186,-25.3805967,-30.2154989,-0.1219019,-0.7305912,-10.2893467,-11.7209215,-0.5579235,-0.3511346,-5.7442722,-1.0319054,-34.1356631,-40.7508758,-0.3270715,-1.1710512,-17.3000626,-20.3285589,-1.2164501,-0.7693506,-8.7335001
