# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
1.0550000,1.0550000,1.0550000,-0.0107635,-0.0005775,-0.3001823,-0.0107635,-2.5574541,-2.2127254,-0.0025557,-0.0184285,-0.6860774,-0.6393165,-0.0126885,-0.0080248,-0.1362864
1.0575000,1.0575000,1.0575000,-0.0106058,-0.0005736,-0.2980004,-0.0106058,-2.5336569,-2.1936823,-0.0025182,-0.0181586,-0.6791908,-0.6333749,-0.0125026,-0.0079072,-0.1342896
1.0600000,1.0600000,1.0600000,-0.0104508,-0.0005697,-0.2958399,-0.0104508,-2.5101266,-2.1748424,-0.0024814,-0.0178934,-0.6723903,-0.6275019,-0.0123199,-0.0077917,-0.1323270
1.0625000,1.0625000,1.0625000,-0.0102985,-0.0005658,-0.2937002,-0.0102985,-2.4868597,-2.1562030,-0.0024453,-0.0176326,-0.6656746,-0.6216965,-0.0121403,-0.0076781,-0.1303980
1.0650000,1.0650000,1.0650000,-0.0101487,-0.0005620,-0.2915813,-0.0101487,-2.4638529,-2.1377615,-0.0024097,-0.0173764,-0.6590425,-0.6159579,-0.0119638,-0.0075665,-0.1285018
1.0675000,1.0675000,1.0675000,-0.0100015,-0.0005582,-0.2894829,-0.0100015,-2.4411028,-2.1195154,-0.0023748,-0.0171244,-0.6524927,-0.6102852,-0.0117902,-0.0074567,-0.1266379
1.0700000,1.0700000,1.0700000,-0.0098568,-0.0005544,-0.2874047,-0.0098568,-2.4186061,-2.1014621,-0.0023404,-0.0168768,-0.6460241,-0.6046774,-0.0116196,-0.0073488,-0.1248055
1.0725000,1.0725000,1.0725000,-0.0097145,-0.0005506,-0.2853465,-0.0097145,-2.3963597,-2.0835991,-0.0023066,-0.0166333,-0.6396353,-0.5991336,-0.0114519,-0.0072428,-0.1230042
1.0750000,1.0750000,1.0750000,-0.0095747,-0.0005469,-0.2833080,-0.0095747,-2.3743603,-2.0659240,-0.0022734,-0.0163939,-0.6333254,-0.5936530,-0.0112871,-0.0071385,-0.1212333
1.0775000,1.0775000,1.0775000,-0.0094372,-0.0005433,-0.2812890,-0.0094372,-2.3526047,-2.0484344,-0.0022408,-0.0161586,-0.6270930,-0.5882346,-0.0111250,-0.0070360,-0.1194921
